ABV,Brewery,Description,IBU,Name,Rating,Style,URL
4.5 º,Hordago,"Hordago Cuélebre
La mezcla de cebada y trigo junto con lúpulos de aroma cítrico y la piel de naranja amarga hacen que esta cerveza sea fácil de beber y muy refrescante.
Ideal para aplacar la sed o para subir los ánimos.",4.5 º,Hordago Cuélebre,,Witbier,/cervezas/hordago-cuelebre
11 º,Fermun Beers,"Malalts de Malta
Quadrupel tipo trapense con cerezas negras cuya producción requiere maltas especiales belgas y azúcar candy. Necesita una buena levadura belga además de guarda. Ofrece notas licorosas, uva pasa, frutos secos y recuerdos a cereza.
Esta ... Ver más se envejece por más de 2 años. Ver menos",11 º,Fermun Beers Malalts de Malta,,Belgian Dark Strong Ale,/cervezas/fermun-beers-malalts-de-malta
"starstarstarstar_halfstar_border 3,50",MarinaBrouwerij Het Nest,"Het Nest / Marina Full Of Hops Belgian Trippel IPA
Full Of Hops Trippel","starstarstarstar_halfstar_border 3,50",Het Nest / Marina Full Of Hops Belgian Trippel IPA,,Belgian Tripel,/cervezas/het-nest---marina-full-of-hops-belgian-trippel-ipa
4.7 º,Marbel,Marbel Porter,4.7 º,Marbel Porter,,Porter,/cervezas/marbel-porter
,Les Canyes,"Kölsch Fargo de Pepe Cubillo (QuoNos) Casa rural  Les Canyes, Primer premio ACCE 2014",,Les Canyes Kölsch Fargo,,Kölsch,/cervezas/les-canyes-kolsch-fargo
"5,7% IBU",Cervezas Medina,Edicion especial para la feria de Noblejas 2012.,"5,7% IBU",Medina Febrerita,,Oktoberfest-Marzen,/cervezas/medina-febrerita
25 IBU,La Quince Brewery,"La Quince Trípel Giraffe
Colaboración con Dioni (Cerveza de Garaje)",25 IBU,La Quince Trípel Giraffe,,Belgian Tripel,/cervezas/la-quince-tripel-giraffe
"starstarstarstarstar_border 3,90",Sullerica Cervesa Artesana,"Sullerica Nadalenca
Edición especial
Cervesa d´alta fermentació especiada lleugerament dolça. Pensada per acompanyar els plats tipics de les festes de Nadal o per gaudir-la tota sola.
Con anís, canela, almendra y clavo","starstarstarstarstar_border 3,90",Sullerica Nadalenca,,Christmas-Winter Specialty Spiced Beer,/cervezas/sullerica-nadalenca
"starstarstar_halfstar_borderstar_border 2,50",Es Molí de Foc,Grahame Pearce De Blat (de trigo)Antes conocida como La ClimentinaCervesa de blatCerveza de trigo,"starstarstar_halfstar_borderstar_border 2,50",Grahame Pearce Sant Climent De Blat,,Weizen-Weissbier,/cervezas/grahame-pearce-sant-climent-de-blat
8 º,Garage Beer Co,"Squirrel Men
West coast DIPA
West coast DIPA de 8% ABV feta amb llúpols citra i simcoe. t’esperem aquest dijous al c / consell de cent 261 per tastar aquesta i dues emocionants llançaments, DJ en viu, bon menjar i com sempre 12 aixetes amb una ... Ver más de les nostres birres favorites.
--------------------
West coast DIPA de 8% ABV hecha con lúpulos citra y simcoe. te esperamos este jueves en c/ consell de cent 261 para probar esta y dos emocionantes lanzamientos, DJ en vivo, buena comida y como siempre 12 grifos con una selección de nuestras birras favoritas
---------------------
West coast DIPA of 8% ABV brewed w/ citra & simcoe hops. come over this thursday to c/ consell de cent 261 and try this and 2 more exciting releases, live dj, amazing food and, like always 12 taps of our favourite selection Ver menos",8 º,Garage Beer Co Squirrel Men,,Imperial IPA,/cervezas/garage-beer-co-squirrel-men
55 IBU,Falken BrewingSesma Brewing,"Falken Brewing / Sesma Sour Pang Barrica
Versión de la Sour Pang añejada en barrica, más fina, ligera, y con un interesante perfil de vino blanco y madera. Busca las botellas con lacre rojo en tu garito favorito!",55 IBU,Falken Brewing / Sesma Sour Pang Barrica,,Sour Ale,/cervezas/falken-brewing---sesma-sour-pang-barrica
33 IBU,BrewByCode,"BlueScreenOfDeath
Brut IPA",33 IBU,BrewByCode BlueScreenOfDeath,,India Pale Ale,/cervezas/brewbycode-bluescreenofdeath
31 IBU,Another Planet Brewing,"The Dark Side Imperial Porter
Dark and tempting, rich chocolatey and vanilla aromas draw you in. Intense flavours of licorice, coffee, and chocolate insist that you embrace The Dark Side.",31 IBU,Another Planet The Dark Side,,Baltic Porter,/cervezas/another-planet-the-dark-side
"starstarstarstarstar_half 4,50",Bayura,"Bayura Mexu de Trasgu India Pale Ale doble carga de lúpulo
Aromática con marcados matices cítricos y tropicales, aparecen tambien toques de resina de pino y de bosque. En boca es amarga, con recuerdos resinosos, cítricos y ligeramente minerales. ... Ver más seco y bien amargo. Ver menos","starstarstarstarstar_half 4,50",Bayura Mexu de Trasgu,,Imperial IPA,/cervezas/bayura-mexu-de-trasgu
4.7 º,La Nena,"La Nena IPA
Color anaranjado, burbuja fina y espuma consistente. Intenso aroma con matices cítricos y herbales, con notas afrutadas tropicales y fruta de la pasión, con un trasfondo de malta caramelizada.
Sabor dulce, de entrada destacan las notas ... Ver más que hemos notado en nariz y notas cítricas para dar paso a las maltas pale y caramelo. De cuerpo medio, tiene un final y postgusto agradablemente amargor. Ver menos",4.7 º,La Nena IPA,,India Pale Ale,/cervezas/la-nena-ipa
120 IBU,Laugar BreweryMalte,"Demon Cleaner
West Coast IPA
De la mano de cervezoteca Malte y del estudio de diseño Dead Flag surge: “The Desert Series: a tribute to the raw, fuzzy, acid and psychedelic sounds”, dedicada a grandes bandas del género que comienza con los grandísimos ... Ver más y con una carga extrema de lúpulos Cascade, Centennial, Chinook, Simcoe y Equanot. Un estilo ya clásico y atemporal para una banda clásica y atemporal.  Ver menos",120 IBU,Laugar / Malte Demon Cleaner,,American IPA,/cervezas/laugar---malte-demon-cleaner
40 IBU,Cervezas Artesanas Quijota,"Una cerveza de moderada graduación alcohólica, elaborada con una combinación de maltas pálidas y torrefactas que le confieren un sabor a la vez suave e intenso.
La interpretación manchega de este estilo consigue una extraordinaria bebilidad y ... Ver más rica gama de matices, tanto de color como de textura, desde el color marrón de su cremosa espuma, hasta el toque afrutado de la fermentación alta que no oculta el suave amargor de los lúpulos ingleses utilizados y el sutil toque torrefacto con recuerdos a café de una auténtica Stout. Ver menos",40 IBU,Quijota Negra,,Stout,/cervezas/quijota-negra
30 IBU,Yria,"Brutalism
Brut IPA
Brutalism es una cerveza de color amarillo brillante. En aroma muy presente la fruta y en boca muy compensado el toque amargo de una brut IPA con la frescura y dulzura que posee.
",30 IBU,Yria Brutalism,,Brut IPA,/cervezas/yria-brutalism
74 IBU,Tibidabo Brewing,"Tibidabo Brewing Flipa
IPA
Nuestro homenaje al estilo más popular de la tendencia cerveza artesana actual. Un torrente de lúpulos americanos nos brinda aromas cítricos y de pino. Un final limpio y una combinación de lúpulos satisfará al amante ... Ver más lúpulo más exigente. Una west coast american IPA hecha en la west coast del Mediterráneo. Ver menos",74 IBU,Tibidabo Brewing Flipa,,India Pale Ale,/cervezas/tibidabo-brewing-flipa
48 IBU,Sireno Cervezero,"Sireno Cervezero Marmolejo
Cerveza de elaboración artesanal bien equilibrada, de color anaranjado intenso y cuerpo medio. Los lúpulos americanos le aportan aromas cítricos y especiados. Sus maltas, la raíz de regaliz y el toque exótico y genuino ... Ver más chile seco mexicano, la hacen única y diferente. Las dos maltas que intervienen en su proceso otorgan un correcto equilibrio entre sus ingredientes. El sabor dulce de su malta base, deja paso al moderado amargor que aportan sus lúpulos americanos, descubriendo también sabores cítricos y especiados en el aroma. La raíz de regaliz y el sabor ahumado del chile seco se dejan notar a medio trago, volviendo a dejar paso al final a los tonos ahumados y cítricos previos.
Su sabor intenso y la espuma fina, blanca y consistente se consiguen fermentando durante cinco días con levadura de floculación media y re-fermentando de 20 a 30 días una vez embotellada.
Marida bien con todo tipo de carnes y quesos muy curados, viejos o de tipo fuerte inglés como el Shilton.  Ver menos",48 IBU,Sireno Cervezero Marmolejo,,Pale Ale,/cervezas/sireno-cervezero-marmolejo
"starstarstarstar_halfstar_border 3,60","Hop Hunters Winter India Pale LagerColaboración entre Bidassoa Basque Brewery, Drunken Bros, GROSS y La Quince Brewery con 6 maltas, 3 lúpulos americanos y levadura lager.Cerveza de cuerpo generoso, seca y de amargor moderado. Aromas y sabores a ... Ver más tropicales y de hueso, como melocotón, albaricoque… con notas herbales. Ver menos","Hop Hunters Winter India Pale LagerColaboración entre Bidassoa Basque Brewery, Drunken Bros, GROSS y La Quince Brewery con 6 maltas, 3 lúpulos americanos y levadura lager.Cerveza de cuerpo generoso, seca y de amargor moderado. Aromas y sabores a ... Ver más tropicales y de hueso, como melocotón, albaricoque… con notas herbales. Ver menos","starstarstarstar_halfstar_border 3,60",Hop Hunters Winter India Pale Lager,,India Pale Lager,/cervezas/hop-hunters-winter-india-pale-lager
,Ancestra Ibérica,"Ancestra Rubia
Ancestra Ibérica “Rubia”, es una cerveza rubia tipo Pale Ale. Se trata de una cerveza de carbonatación natural y matices moderados dentro de su estilo.
Está elaborada con diferentes variedades de lúpulos americanos, aportandole ... Ver más retrogusto a cítricos y aromas florales, junto a un amargor suave y sostenido., todo junto hace que sea una cerveza fácil de beber y muy refrescante Contiene 4,5% de alcohol. Ver menos",,Ancestra Ibérica Rubia,,Pale Ale,/cervezas/ancestra-iberica-rubia
25 IBU,Basqueland Brewing ProjectDry & Bitter Brewing Company,"White Linen Suit
Rye IPA",25 IBU,Basqueland / Dry & Bitter White Linen Suit,,India Pale Ale,/cervezas/basqueland---dry---bitter-white-linen-suit
4.9 º,Forca,"Forca Besalú Negra Suau
Estil Bock",4.9 º,Forca Besalú Negra Suau,,Bock,/cervezas/forca-besalu-negra-suau
53 IBU,Dosmares,"Dosmares Indian Pale Ale - Dosmares IPA
Color anaranjado dorado oscuro. Espuma cremosa beige.
Aroma intenso y agradable a cítricos, mango y fruta tropical.
Carbonatación y cuerpo medio.
Amargor persistente y sabor a lúpulos cítricos intensos ... Ver más con matices dulces y tostados.
Cerveza lupulada, perfectamente equilibrada y muy aromática. Ver menos",53 IBU,Dosmares Indian Pale Ale,,India Pale Ale,/cervezas/dosmares-indian-pale-ale
7 º,The Flying Inn,"Mathom
Double Praline Toffee Stout",7 º,The Flying Inn Mathom,,Stout,/cervezas/the-flying-inn-mathom
5 º,Old Skull,"Old Skull Ultra Cereal OK!
Combinacion de trigo y cebada, cerveza con los aromas a malta dorada, fresca y con amargor suave",5 º,Old Skull Ultra Cereal OK!,,Pale Ale,/cervezas/old-skull-ultra-cereal-ok-
4.8 º,Ruben’s Beer,"Ruben’s Pilsen
Seguramente y creemos que así lo pensarás cuando la pruebes, sea la mejor cerveza filtrada, porque está creada con la experiencia, el cariño y sobre todo paciencia, de donde su transparencia y su color dorado no deja indiferente ... Ver más nadie. Ver menos",4.8 º,Ruben’s Pilsen,,Pilsner,/cervezas/ruben-s-pilsen
35 IBU,La Castellera,"Valor
Cervesa d’estil Brut Indian Pale Ale És una cervesa amb un lleuger cos, un amargor moderat i ben afruitada.",35 IBU,La Castellera Valor,,Brut IPA,/cervezas/la-castellera-valor
30 IBU,Beauty,"Quinoa
Hoppy Pale Ale
Disfruta de una gran cerveza, sin más, con ese toque diferente que tanto te gusta
¿Te imaginas una American Pale Ale con Quinoa?, ¿Te imaginas que potenciamos sus sabores y aromas además con una doble carga de lúpulos?
Así ... Ver más nuestra Cerveza Beauty with Quinoa. Una Hoppy Pale Ale muy, muy especial, tan especial que olvidarás que es una gluten free. Ver menos",30 IBU,Beauty Quinoa,,American Pale Ale,/cervezas/beauty-quinoa
6.4 º,Cervezas Mulhacén,"Mulhacén Irish Red
Pale Ale irlandesa elaborada con 4 maltas y 3 lúpulos",6.4 º,Mulhacén Irish Red,,Irish Red Ale,/cervezas/mulhacen-irish-red
47 IBU,Cervesa Lo VilotCerveses La Pirata,"Brettasaurus
Brett IPA
Fermentación 100% Brettanomyces durante 4 meses en tanque de inoxidable. Destacan los matices a Fruta Tropical que da el Brett en 1ª Fermentación, acompañado de un aroma y un amargor agradable producido por dry hopping. ... Ver más Funky.  Ver menos",47 IBU,Lo Vilot / La Pirata Brettasaurus,,Sour Ale,/cervezas/lo-vilot---la-pirata-brettasaurus
18 IBU,Jakobsland Brewers,"On Cloud 9
Oat Cream DIPA
Esta DIPA presenta 3 lúpulos; Ekuanot, Azacca y Vic Secret, con intensos aromas y sabores a papaya, piña y mango. Les hemos envuelto en una nube de avena con un toque de lactosa para una sensación en boca muy cremosa. ... Ver más fermentado esta DIPA con levadura Inglesa para el toque de frutas maduras.
-------------
This DIPA features 3 fruit forward hops; Ekuanot, Azacca & Vic Secret, with aromas & flavors of papaya, pineapple & mango. Laid on top of a fluffy cloud of oats with a hint of milk sugar for the creamiest mouthfeel ever. We fermented it on British yeast for its stone fruit flavours and aromas Ver menos",18 IBU,Jakobsland On Cloud 9,,Imperial IPA,/cervezas/jakobsland-on-cloud-9
45 IBU,Cervezas Speranto,"Cascade Ninja Testudo
Freak Collection Rye IPA
Cuarta y última cerveza de la serie de cuatro Rye IPAs monovarietales elaboradas con lúpulos de Valle de Órbigo (León, España).
Esta elaborada exclusivamente con lúpulo Cascade y presenta un balance ... Ver más las notas a cereales, aportadas por el centeno, y una presencia cítrica, resinosa y herbal, con notas frutales y un amargor punzante, aportado por el lúpulo Cascade. Ver menos",45 IBU,Speranto Cascade Ninja Testudo,,IPA Otros,/cervezas/speranto-cascade-ninja-testudo
33 IBU,Comic Beer,"Amber Ale Nous
Cerveza de alta fermentación, color ámbar intenso. Tiene aromas de madera i notas ahumadas con un toque de nuez.",33 IBU,Comic Beer Amber Ale Nous,,Amber Ale,/cervezas/comic-beer-amber-ale-nous
"starstarstarstarstar_half 4,50",Steve’s Beer,"Steve Huxley decidió elaborar una Best Bitter y en concreto esta interpretación del estilo ya que, en Inglaterra a principios de los ’60 la Draught Bass, todavía en casks de madera, era la cerveza de su juventud y la predilecta de los cognoscenti ... Ver más de la época. Steve’s Best Bitter es un viaje en la imaginación de como este tipo de cerveza podría haber evolucionado con nuevos lúpulos y avances en tecnología pero respetando las tradiciones. Así conseguimos una cerveza que satisface tanto a los exigentes del principios del siglo 21 como su antecesora hizo con los de medianos del siglo pasado.
Es un estilo complejo y exigente con el cervecero; se deben notar los efectos de todos los ingredientes pero con un desequilibrio a favor de los lúpulos.
-----------
Tras el fallecimeinto de Steve Huxley en 2015 se ha eleborado esta cerveza por otros productores. Ver menos","starstarstarstarstar_half 4,50",Steve’s Best Bitter,,Special-Best-Premium Bitter,/cervezas/steve-s-best-bitter
5 º,Cervezas Gharnatah,"Gharnatah Ñ Roja
En honor a nuestros deportistas que tantas alegrias nos dan desde hace unos años y siguiendo el lema de la cervecera orgullosos de lo nuestro.
Una Red Ale de color rojo cobrizo, algo más lupulada, con una graduación media y ... Ver más carbonatada. Ver menos",5 º,Gharnatah Ñ Roja,,Red Ale,/cervezas/gharnatah-n-roja
"starstarstarstar_halfstar_border 3,40",Moska de Girona,Moska Beatles Weekend,"starstarstarstar_halfstar_border 3,40",Moska Beatles Weekend,,Ale,/cervezas/moska-beatles-weekend
10.5 º,"Cotoya d’iviernu
2015 Monsacru 1057m","Cotoya d’iviernu
2015 Monsacru 1057m",10.5 º,Cotoya  d’iviernu 2015,,Belgian Strong Ale,/cervezas/cotoya--d-iviernu-2015
21 IBU,Cerveza Abeja,"Abeja Reina
Bavarian Over-hopped Wheat
Cerveza de trigo estilo bávaro super lupulada.
Sin dejar de ser fieles a la experiencia tradicional de las cervezas de trigo bávaras, la reina es sorprendentemente refrescante, ligera y equilibrada. Se ha ... Ver más maltas europeas históricas y aportado un punto de innovación a una receta del S.XVIII con un sabor y aromas extras, tarde en la cocción, gracias a una selección de jóvenes lúpulos americanos, que confieren a este estilo tan tradicional una nota aromática cítrica y floral con sabor a mandarina y pomelo y un final que deja un toque de clavo y de plátano.
Las características de la Reina son ideales para degustar con uno de los productos estrella de la Ruta de la Plata: un buen jamón, sobre el que ejerce una recíproca atracción, ya que se combinan a la perfección el frescor de uno con el intenso sabor del otro. Ver menos",21 IBU,Abeja Reina,,German Wheat and Rye Beer,/cervezas/abeja-reina
"starstarstarstarstar_half 4,50",Redneck Brewery,"Redneck Brandine
American Pale Ale","starstarstarstarstar_half 4,50",Redneck Brandine,,American Pale Ale,/cervezas/redneck-brandine
"starstarstarstarstar_half 4,50",Quer,"Sabrosa y compleja, tiene una gran variedad de maltas tostadas, ligero toque a café y chocolate. Los lúpulos están bien integrados, pero el aroma y el gusto, justo para una Imperial Stout, tiene color negro intenso, el alcohol está presente y ... Ver más integrado. Es una cerveza para disfrutar y de guarda. Esta cerveza era fabricada en Inglaterra para ser exportada hacia Rusia, para que aguantara el viaje se hacía muy alcohólica para que no se congelara en el viaje.
----------------------------------
Sabrosa i complexa, té una gran varietat de malts torrats, lleuger toc a cafè i xocolata. Els llúpols estan ben integrats, però l’aroma i el gust, just per una Imperial Stout, té color negre intens, l’alcohol està present i ben integrat. És una cervesa per disfrutar i de guarda. Aquesta cervesa era fabricada a Anglaterra per ser exportada cap a Rússia, perquè aguantés el viatge es feia molt alcohòlica perquè no es congelés en el viatge. Ver menos","starstarstarstarstar_half 4,50",Quer Siberian Black,,Russian Imperial Stout,/cervezas/quer-siberian-black
63 IBU,Rosas de Málaga,"Rosas de Málaga Veintinueve Wint3r
Brown IPA
Con nuez moscada, canela y vainilla.",63 IBU,Rosas de Málaga Veintinueve Wint3r,,American Brown Ale,/cervezas/rosas-de-malaga-veintinueve-wint3r
4.8 º,La Pedriza,"La Pedriza de Manzanares el Real Altbier
Se trata de una cerveza tipo ale inspirada en una receta tradicional alemana, la Altbier. Es una cerveza de color ligeramente tostado, gran sabor, potente, bien balanceada, y con una sensación de amargor intensa ... Ver más el trago inicial, pero que queda rápidamente compensada gracias al carácter de malta logrado.
Agua de la sierra de Madrid, malta de cebada, lúpulo, levadura y azúcar integral de caña Ver menos",4.8 º,La Pedriza Altbier,,Nothern German Altbier,/cervezas/la-pedriza-altbier
6 º,El Español CerveceroPanda Beer,"Mi Hermanita
IPA
Hermandad cervecera de la Sierra de Madrid
Con 4 lúpulos, fresca, resinosa, muy olorosa, suave amargor e ideal para acompañar carnes, pasta y queso.
Receta de Nando González y Aitor Panda",6 º,El Español Cervecero Mi Hermanita,,American IPA,/cervezas/el-espanol-cervecero-mi-hermanita
65 IBU,Sa Cerviseria,"Una IPA amb addicions de llúpols americans cada minut durant una hora, i amb un dryhop elevat per tal d’aportar el màxim d’aroma possible. Per resumir, una cervesa amarga, aromàticament cítrica amb tocs tropicals",65 IBU,Sa Cerviseria Sa Bona,,India Pale Ale,/cervezas/sa-cerviseria-sa-bona
40 IBU,The Flying Inn,"Psicostasis
Session IPA",40 IBU,The Flying Inn Psicostasis,,Session IPA,/cervezas/the-flying-inn-psicostasis
,Cervezas Tomar,,,Alcalá Sol,,Pilsner,/cervezas/alcala-sol
"starstarstarstar_halfstar_border 3,30",La Maltista,"Es una cerveza de trigo clara. Se recomienda tomarla con las levaduras sedimentadas de la botella que aportan toques a plátano. Agua, maltas, lúpulos y levadura.
----------------------------
És una cervesa de blat clara. Es recomana prendre-la ... Ver más els llevats sedimentats de lampolla que aporten tocs a plàtan. Aigua, maltes, llúpols i llevat. Ver menos","starstarstarstar_halfstar_border 3,30",La Maltista Wheat Pale Ale,,Pale Ale,/cervezas/la-maltista-wheat-pale-ale
6.5 º,Zorro de Oro,"Navidad
Una excelente combinación de dulzura de la malta tostada y especias de canela, miel, jengibre y cítricos, crea la cerveza del invierno con el sabor de la fiesta.",6.5 º,Zorro de Oro Navidad,,Christmas-Winter Specialty Spiced Beer,/cervezas/zorro-de-oro-navidad
55 IBU,Redneck Brewery,"Redneck Atchafalaya
Moonshiner Series American IPA",55 IBU,Redneck Atchafalaya,,American IPA,/cervezas/redneck-atchafalaya
"starstarstar_borderstar_borderstar_border 2,00",Ales Agullons,"Ales Agullons Barrica 2010 -
Pura Pale mezclada con Lambic. Segunda fermentación y maduración en barrica de roble durante un año y una guarda después del embotellado de un año y tres meses.
--------------
Pura Pale amb una segona fermentació ... Ver más maduració en bota de roure durant 6-12 mesos, embotellada i guarda de 9 a 12 mesos. Ver menos","starstarstar_borderstar_borderstar_border 2,00",Ales Agullons Barrica 2010 -,,Wood-Aged Beer,/cervezas/ales-agullons-barrica-2010--
"starstarstarstarstar 4,80",Heineken España,La cerveza con limón de la gama Buckler,"starstarstarstarstar 4,80","Buckler 0,0 Radler",,Shandy / Radler,/cervezas/buckler-00-radler
40 IBU,Jakobsland Brewers,"Xigantes
India Pale Ale
Esta IPA Americana de doble dryhopping contiene grandes dosis de lúpulos Simcoe, Columbus, Citra, Vic Secret y Centennial que generan un potente aroma cítrico y resinoso, por un lado y por otro, sabores audaces como el melón, ... Ver más albaricoque, la piña y la mandarina. Todo ello resaltado por una delicada base de malta avellanada. Ver menos",40 IBU,Jakobsland Xigantes,,American IPA,/cervezas/jakobsland-xigantes
124 IBU,GipsyHZT1L - Hazteunlitro,Cerveza realizada por el hombrew Gipsy con la colaboración de Javo,124 IBU,Matajare IPA,,India Pale Ale,/cervezas/matajare-ipa
6’4 º,La Fragua,"Oro Negro, exclusiva cerveza artesanal elaborada por nosotros para que nuestros clientes puedan disfrutarla en su lugar especial. No sólo lúpulo y malta tostada se utilizan como materias primas, si no también miel natural en forma de Hidromiel.
La ... Ver más Oro Negro sobresale por su carácter de malta tostada y por su toque dulce, un sabor único y distintivo, que el color rojo oscuro y la relativa alta graduación 6’4% complementan.
Los componentes más importantes de la cerveza con hidromiel y que reportan beneficios a nuestra salud son:
Vitaminas. Sobre todo del grupo B. Y especialmente ácido fólico, cuya presencia en la cerveza hacen que esta bebida sea una de las principales fuentes de folatos que se pueden incorporar a la dieta diaria. Otras vitaminas presentes, son la riboflavina (B2), que facilita la digestión, y la piridoxina (B6), niacina y tiamina (B1), implicadas en el metabolismo de los glúcidos.
Gran aporte de fibra soluble, por lo que evita el estreñimiento y también se asocia a una disminución del colesterol malo. Contiene numerosos minerales, entre los que destaca el silicio biodisponible, que está implicado en la formación y reparación de los huesos, y contribuye a aumentar la densidad ósea y a frenar la pérdida de hueso, pudiendo llegar a reducir la biodisponibilidad de los metales tóxicos (Ej. aluminio) que provocan enfermedades como el Alzheimer, fortaleciendo el sistema nervioso.
Rica en magnesio y pobre en sodio previene formación de cálculos y piedras en vías urinarias.
Polifenoles. Estas sustancias, con propiedades antioxidantes, y que forman parte de la composición de frutas y verduras, el aceite de oliva y el té, también están presentes; el lúpulo posee propiedades antibacterianas y antiinflamatorias que ayudan a prevenir enfermedades relacionadas con el envejecimiento.
Maltodextrinas. Se trata de carbohidratos que se metabolizan lentamente y liberan poco a poco unidades de glucosa en la sangre. Gracias a esta liberación lenta no se produce un pico elevado y puntual de glucosa en sangre, lo que evita que aparezcan episodios de hiperglucemia o hipoglucemia.
Gracias a la combinación de hidromiel vemos amplificados los aportes de vitaminas y minerales. La miel natural está compuesta por minerales como sodio, potasio, magnesio, calcio, hierro, manganeso, cobre, fósforo, zinc, selenio, vitaminas A, C y del complejo B. Tiene propiedades alimenticias y curativas que se conocen desde la antigüedad. Es antibiótica, cura el raquitismo, el escorbuto, la anemia, la inflamación del intestino, la hidropesía, el estreñimiento, el reumatismo, los dolores de cabeza y los vértigos.
Es considerada tónica y relajante al favorecer la absorción de triptófano, sustancia precursora de la serotonina, inductora del sueño. Por ello, la miel combate el insomnio. Funciona también como un poderoso regenerador celular.
Reconstituyente cerebral por su contenido en sodio, hierro y fósforo, indispensables para el buen mantenimiento del sistema nervioso. El consumo regular de la miel mejora la asimilación de otros alimentos por ser muy digestiva. Sus propiedades suavizantes y antisépticas, la convierten en un excelente auxiliar en el tratamiento de gripe, garganta irritada y dolor muscular.
Este producto contiene alcohol, la Fragua recomienda un consumo moderado y responsable. Ver menos",6’4 º,La Fragua Oro Negro,,Mead - Hidromiel,/cervezas/la-fragua-oro-negro
6 º,Cervexa Artesá Meiga,"E cando esta cervexa baixe polas nosas gorxas, quedaremos libres dos males da nosa alma e de todo embruxamento.
Y cuando esta cerveza descienda por nuestras gargantas, quedaremos libres de los males de nuestra alma y de toda brujería.",6 º,Meiga Pale Ale,,Pale Ale,/cervezas/meiga-pale-ale
36 IBU,84 Brewers,"84 Brewers Málaga PX especial
Grano macerado en PX (Pedro Ximénez) rematado en los últimos minutos de cocción con lupulos Americanos",36 IBU,84 Brewers Málaga PX especial,,Saison,/cervezas/84-brewers-malaga-px-especial
18 - 20 IBU,Mossa,"Mossa Stout
Selección de maltas Munich y Pale Ale, cebada torrefacta y cebada sin maltear autóctona, lúpulo y levadura.
Cerveza negra no filtrada, natural, de color marrón oscuro opaco con espuma densa y consistente.
Ideal para acompañar carnes ... Ver más con ciruelas, pasas o higos, quesos ahumados, postres y pasteles elaborados con chocolate y café.
Sabor nítido, con textura cremosa. En paladar con trasfondo a café torrefacto, crema de chocolate y frutos secos. En papilas gustativas recuerdos de sutiles aromas de chocolate con leche y toffee. Amargura con final elegante y toques de regaliz.
Aromas a caramelo, toffee, café y de cereales. Ver menos",18 - 20 IBU,Mossa Stout,,Stout,/cervezas/mossa-stout
3.2 º,Mahou San Miguel,"Mahou 5 Estrellas Radler
Mahou Cinco Estrellas Radler, una cerveza radler que combina el sabor de Cinco Estrellas con zumo natural de limón. Pensada para que cada trago sea un momento refrescante cargado del sabor de siempre.
Radler elaborada con ... Ver más de limón natural, aporta al paladar una experiencia diferente y refrescante sin tener que renunciar al sabor de Cinco Estrellas.
Su ingrediente principal, zumo natural de limón, la convierte en una cerveza con limón con una fragancia nítida e intensa en la que dominan los aromas cítricos a lima limón y deja un recuerdo a fruta tropical. Desde el primer sorbo, nuestra radler deja un amargo sutil y una sensación ácida equilibrada, con un cierto dulzor, que hace de ella una cerveza refrescante. Ver menos",3.2 º,Mahou 5 Estrellas Radler,,Shandy / Radler,/cervezas/mahou-5-estrellas-radler
22 IBU,La Gata Negra,"La Gata Negra Pumpking Rupert
Cerveza de estilo American pale ale a la que se la ha añadido calabaza ecológica asada.",22 IBU,La Gata Negra Pumpking Rupert,,American Pale Ale,/cervezas/la-gata-negra-pumpking-rupert
"starstarstarstar_halfstar_border 3,70",Roses de Llobregat,"Roses de Llobregat Lorenzanna
St Llorenç (San Lorenzo) es el patrón de Sant Feliu de Llobregat, municipio que durante la Guerra Civil pasó a llamarse Roses de Llobregat por la tradición floral existente en la población. Esta cerveza elaborada ... Ver más trigo y de estilo belga (wit bier) se presenta refrescante y con ciertos toques cítricos.   Ver menos","starstarstarstar_halfstar_border 3,70",Roses de Llobregat Lorenzanna,,Witbier,/cervezas/roses-de-llobregat-lorenzanna
4.5 º,Amai Craft Beer,"Amai Ambar
Una pelirroja con personalidad...
Es una cerveza tipo Ale de alta fermentación, color ambarino (20 EBC), sabores dulces y tostados, espuma persistente, 4,5%/vol. Se recomienda servir alrededor de 3ºC y en un vaso de cristal apropiado ... Ver más disfrutar plenamente de esta cerveza.
Es una cerveza que se puede disfrutar y acompañar en platos ahumados,(embutidos curados al fuego, pescados, por ejemplo salmón ahumado) quesos suaves, revueltos ( trigueros, morcilla con piñones y manzana, gulas con jamón...) verduras, (alcachofas, judías verdes, coles...) ensaladas de ahumados. Ver menos",4.5 º,Amai Ambar,,American Amber Ale,/cervezas/amai-ambar
4.5 º,Gastro,"Gastro Natural Lemon
Cerveza de trigo con un sutil toque de zumo de limón natural.",4.5 º,Gastro Natural Lemon,,Shandy / Radler,/cervezas/gastro-natural-lemon
50 IBU,Cierzo Brewing Co.,"Infrenable
Doble IPA
No hay quien pare frene a esta Doble IPA con DDH de Citra, Mosaic, Ekuanot, Azacca y Cryo Amarillo. Una cerveza de color dorado opaco, muy aromática, sedosa en boca y con un agradable amargor, elaborada en colaboración con Basqueland ... Ver más Ver menos",50 IBU,Cierzo Infrenable,,Imperial IPA,/cervezas/cierzo-infrenable
