ABV,Brewery,Description,IBU,Name,Rating,Style,URL
4.5 º,Cerveza Maier,"Maier Lola
Lola es una cerveza edición especial especial de Maier creada con mucho amor y que nace como homenaje a las mujeres que sufren cáncer de mama, parte de los beneficios van destinados a la lucha contra esta enfermedad. Cerveza muy suave ... Ver más fácil de beber, muy refrescante y aromática debido a los lúpulos florales añadidos.
Cerveza muy suave y fácil de beber, muy refrescante y aromática debido a los lúpulos florales añadidos durante la producción, tiene 5 tipos de lúpulo diferente.
Lola es una cerveza está elaborada siguiendo un proceso especial de adición de lúpulo llamado Dry Hopping. Una vez reslizada la primera fermentación en el tanque bajamos la temperatura del mismo y añadimos una cantidad determinada de dos variedades de lúpulo, Citra y Simcoe y los dejamos en el tanque durante 14 días.
Una vez finalizado este proceso retiramos el lúpulo y embotellamos. Con esta técnica conseguimos aromatizar la cerveza con las notas florales y tropicales que estas dos que estas dos variedades de lúpulo aportan.
Esta cerveza tiene un sabor ligeramente afrutado y aromas profundos a lúpulo. Cerveza de doble fermentación, primera fermentación alta con levadura Ale y segunda fermentación en botella gracias a la miel añadida Ver menos",4.5 º,Maier Lola,,Blonde Ale,/cervezas/maier-lola
12 IBU,Mustache Cerveza,"Mustache Rosa
Cerveza de tipo Red Ale, con frutas.
Infusión de frutas rojas deshidratadas de la empresa La Tetera Azul (El Bierzo). Sorprendente cóctel de hibisco, uvas pasas, arándanos, grosellas negras, fresas, cerezas y frambuesas, realizada ... Ver más dry hopping. Añadiendo las frutas deshidratadas al final de la cocción del mosto.
Color rosáceo, con algún refrejo marrón. Sin referencia SRM (Standard Reference Method). Espuma de color con toques rosáceos, con densidad media.
Carbonatación baja. Burbuja muy fina y elegante, por una refermentación en botella y maduración, con control de temperatura y tiempos muy exhaustiva.
Destacan los aromas a fresas y frambuesas. Afloran aromas que recuerdan al té.
Entrada en boca de trago largo, caracterizado por los sabores frutales de la infusión. Desarrollo en boca muy suave, caracterizado por la baja carbonatación. Equilibrio entre los dulzores de las maltas y la acidez frutal.
Retrogusto final donde aflora la acidez del infusionado. Y los amargores del lúpulo. Retrogusto persistente.
Se recomienda servir en copa tipo vino (para retención de aromas). Situando primeramente la copa en posición levemente inclinada. Para finalizar en posición vertical, sirviendo el producto desde una altura de varios centímetros, para que se produzca una densa espuma que permita que los aromas no se volatilicen.
Marida a la perfección con platos ligeros. Ideal para acompañar entrantes, como quesos suaves, ensaladas, pastas. Perfecto acompañamiento para postres a base de futas, como macedonias, brochetas y helados de frutas. Ver menos",12 IBU,Mustache Rosa,,Pale Ale,/cervezas/mustache-rosa
6.4 º,Kondaira,"Naipa
Kondaira NaIPA es una English India Pale Ale, IPA Inglesa, de color ámbar. Es una cerveza muy lupulizada y aromática, con un cuerpo semi-seco, sútiles notas tostadas y un agradable final amargo que perdura. En nariz predominan notas a vino ... Ver más aroma a pomelo, aromas cítricos, florales y afrutados, perfectamente equilibrados para dar a Kondaira NaIPA toda su complejidad aromática.
Las maltas tostadas suavizan un amargor que desarrolla su potencia por acumulación, y su leve gasificación permite saborear todo el bouquet aromático de Kondaira NaIPA sin que el carbónico lo enmascare. Una cerveza que no deja indiferente.
Por su amargor y complejo sabor, Kondaira NaIPA marida con platos picantes y especiados, como los mexicanos, hindús y tailandeses; acompaña muy bien las verduras amargas como alcachofas y espárragos, y combina a la perfección con salmón ahumado y quesos aromáticos. Ver menos",6.4 º,Kondaira Naipa,,English IPA,/cervezas/kondaira-naipa
"starstarstarstarstar_half 4,40",La Calavera,"La Calavera Bâtard Barrel Aged Chardonnay
Aromas de fruta, cereales y madera. Con una espuma blanca y cremosa.
De aspecto dorado, tiene sabores dulces de malta y vainillacombinados con matices de madera y toques ligeramente ácidos.
La fuerte ... Ver más de los taninos del vino le aportan una gran complejidad. Es una cerveza suave pero intensa. Compleja pero muy agradable al paladar. -----------------
Us presentem les Wood Series, cerveses reposades en barriques de vi Chadonnay i Garnatxa. Amb aquesta técnica obtenim cerveses de guarda amb matisos de fusta, roure, tocs tanins i també àcids. Són cerveses complexes, amb un punt clàssic però també extremat
----------------
Os presentamos las  Wood Series , cervezas reposadas en barricas de vino Chadonnay y Garnacha . Con esta técnica obtenemos cervezas de guarda con matices de madera, roble , toques taninos y también ácidos . Son cervezas complejas , con un punto clásico pero también extremado . Ver menos","starstarstarstarstar_half 4,40",La Calavera Bâtard Chardonnay,,Belgian Strong Ale,/cervezas/la-calavera-batard-chardonnay
"starstarstarstar_halfstar_border 3,50",Galician Brew,"Miña Terra Galega es una cerveza rubia de alta fermentación, elaborada a partir de la receta de las American Pale Ale que recoge la herencia viajera de los gallegos, con un pie en casa y otro alrededor del mundo. Cuando Costas probó nuestra cerveza ... Ver más nos dijo sin dudar, ’yo también quiero una’. El mejor cantante del mundo bien merece una cerveza de su nivel. Una cerveza viajera, con personalidad, rocakrolera y artista. Un tributo a nuestro mejor cantante, un tributo a nuestra tierra, el mejor lugar del mundo.
Aspecto: Cerveza cristalina, de color amarillo y brillante. Espuma blanca persistente y una burbuja fina y chispeante.
Aroma: En nariz la presencia de las notas cítricas y afrutadas es intensa y sorprendente. Aroma a limón, piña, y frutas tropicales en un balance agradable y personal.
Sabor: En boca el recorrido se inicia con el dulzor de las maltas para acoger el amargor floral y un final especiado con un toque picante. Seca e intensa, de trago largo y retrogusto persistente.
Maridaje: Carnes guisadas y asadas, pescado el horno, quesos intensos y patés. Ver menos","starstarstarstar_halfstar_border 3,50",Galician Brew Miña Terra Galega,,American Pale Ale,/cervezas/galician-brew-mina-terra-galega
4.5 º,TACOA,"Tacoa El Teide
La cerveza exclusiva que solo se puede degustar en el mismo corazón de la montaña más alta de España: El Teide (3.718 metros). El mejor y único lugar del mundo para adquirirla es a 2200 metros de altura, en el Parador del Parque ... Ver más . Allí es donde mejor se aprecia su sabor. Un aroma que se forma al mezclar sus lúpulos, sus maltas y un inconfundible toque floral. Si subes al Teide no te olvides de redondear la visita probando in situ nuestra cerveza más exclusiva. Ver menos",4.5 º,Tacoa El Teide,,Pale Ale,/cervezas/tacoa-el-teide
"starstarstarstar_halfstar_border 3,50",Cerveza Artesana Minera,"Minera Carbó Robust Porter
English Porter. Cerveza de estilo británico, sabores tostados y ligera de cuerpo
Elaborada con maltas de cebada tipo pale, cebada tostada y avena. Se trata de una cerveza con muchos gustos torrefactos, ligera de cuerpo, ... Ver más excesivamente amarga y con un toque dulce en el retrogusto.
Ideal para acompañar comidas de carne roja y especialmente de caza, perfecto para cualquier tipo de civet, en especial el de jabalí. También para una sobremesa larga, sustituyendo el café y acompañada con una toma de chocolate negro. Ver menos","starstarstarstar_halfstar_border 3,50",Minera Carbó Robust Porter,,Robust Porter,/cervezas/minera-carbo-robust-porter
35 IBU,Bidassoa Basque BreweryCervecería Boulevard,"Bidassoa Basque Brewery Nexus Anniversary Ale
Belgian Quadrupel con higos, jenjibre, piel de naranja y semilla de cilantro. Una cerveza oscura y fuerte, de cuerpo robusto, con aroma y sabor a frutas oscuras, caramelo, naranja y un toque ligeramente ... Ver más de jengibre y coriantro.
Fue elaborada para conmemorar el decimo aniversario de nuestros amigos Cervecería Boulevard Irún - elboule.es  Ver menos",35 IBU,Bidassoa Basque Brewery Nexus,,Belgian Dark Strong Ale,/cervezas/bidassoa-basque-brewery-nexus
20 IBU,Tyris,"Tyris Radler
Elaborada con limones frescos de la huerta valenciana que aportan un aroma natural, fresco y duradero potenciado por lúpulos cítricos. El amargor perdura en boca contrastando con la frescura del cítrico.
Anteriormente Lemonzilla",20 IBU,Tyris Radler,,Shandy / Radler,/cervezas/tyris-radler
12 º,Hidromiel Guerrero,"Hidromiel Guerrero
Delicioso Hidromiel elaborado de forma tradicional, ligeramente gaseosa, dulce al paladar y de irresistible sabor. Se presenta en una botella de 750 ml de capacidad. Ideal para compartir.
Variedad: Doble miel.",12 º,Hidromiel Guerrero,,Mead - Hidromiel,/cervezas/hidromiel-guerrero
