,Name,Style,Description
2556,"Almogàver Akelarre starstarstarstar_halfstar_border 3,53 ",Classic Rauchbier - 5.2 º - 21 IBU,"Almogàver Akelarre
Helles Rauch
En Almogàver tenemos una pasión por las notas ahumadas. Así, después de nuestra Drake, seguimos el camino con esta cerveza de inspiración alemana, ligera y de color paja. El aroma ahumado aflora sensiblemente del vaso en contraste con el color y la base m ..."
2557,"Guineu / La Quince Old XMAS Ale starstarstarstar_halfstar_border 3,53 ",Christmas-Winter Specialty Spiced Beer - 8.5 º - 40 IBU,"Guineu / La Quince Old XMAS Ale
Old Ale Oloroso Barrel Aged by Rapaces Night Hunters = Cervesa Guineu + La Quince Brewery"
2558,"Bonvivant Hoppy Xmas starstarstarstar_halfstar_border 3,51 ",India Pale Ale - 6.2 º - 52 IBU,"Bonvivant Hoppy Xmas
Indian Pale con un aroma a frutos rojos, cereal y caramelo. Fruta y flor en tu boca nada más probarla. "
2559,"Domus Greco Gran Reserva starstarstarstar_halfstar_border 3,49 ","Spice, Herb o Vegetable Beer - 8.2 º","Domus Greco Gran Reserva
En el IV centenario de la muerte del Greco, nuestro maestro cervecero Fernando Campoy diseñó la receta de una cerveza conmemorativa que contenía ingredientes que recordaban al artista: canela de oriente, limón del mediterráneo y almendras y azafrán de Toledo. Esa ..."
2560,"Tyris Stout starstarstarstar_halfstar_border 3,65 ",Imperial Stout - 8.5 º,"Tyris Stout - Imperial Stout
Aroma rico, profundo y complejo, muy intenso, encontramos maltas torrefactas, ésteres frutados a fruta amarilla madura, pan y bizcocho, cacao, café tostado y regaliz. El aroma evoluciona con el tiempo; se integran en conjunto dando un perfil distinto al inicial."
2561,Villa de Madrid Ziva 5.0 Russiam Imperial Stout Aged in Bourbon Barrels ,Russian Imperial Stout - 11 º,"Villa de Madrid Ziva 5.0 Russiam Imperial Stout Aged in Bourbon Barrels
Versión de  Ziva 5.0 pero con una crianza en barrica nueva de Bourbon."
2562,"In Peccatum A Sour Dance In The Embrace Of Eternity starstarstarstar_halfstar_border 3,72 ",Belgian Strong Ale - 10 º,"In Peccatum The Sour Side Series A Sour Dance In The Embrace Of Eternity
Elaborada siguiendo el método champenoise (biere du champagne)."
2563,"NaparBCN / Soma Weltschmerz starstarstarstarstar_border 4,23 ",Imperial IPA - 8 º,"NaparBCN / Soma Weltschmerz DIPA
Weltschmerz es un término acuñado por el autor alemán Jean Paul usado para expresar la sensación que una persona experimenta al entender que el mundo físico real nunca podrá equipararse al mundo deseado como uno lo imagina."
2564,"Garage Beer Co Z-List starstarstarstarstar_border 3,97 ",India Pale Ale - 6.5 º,"Garage Beer Co Z-List
Oktober 2017
IPA single-hop de 6% ABV hecha con lúpulos BRU-1 y levadura Vermont Ale que contribuye a resaltar el lúpulo."
2565,"Garage Beer Co / Soma Montessori starstarstarstarstar_border 4,11 ",India Pale Ale - 7 º,"Garage Beer Co / Soma Montessori
Montessroi, IPA, 7% ABV en col·laboració amb SOMA Beer i @lallemanyeastbrewing. Hecha con una variedad de lúpulos HBC 431 y levaduras lalbrew new england"
2566,Cerea Supreme De Luxe ,Pale Ale - 5.4 º - 17.1 IBU,"Cerea Supreme De Luxe
Pale Ale con trufa Tuber melanosporum
Tras muchas pruebas e investigaciones, detrás de varias catas y diversas emociones, he aquí nuestro producto estrella Cerea Supreme De Luxe.
Hemos dado con la fórmula idónea para nuestra cerveza de trufa, después de un largo v ..."
2567,"Agüita La Picona! starstarstarstar_halfstar_border 3,30 ",India Pale Ale - 5.5 º - 40 IBU,"Agüita La Picona!
Intenso color, espuma persistente y el amargor destacable de las IPA inglesas"
2568,"Edge Brewing Vintage 2017 Master Blend starstarstarstarstar_border 4,06 ",Imperial Stout - 12.3 º - 49 IBU,"Edge Brewing Vintage 2017 Master Blend
Bourbon Barrel Aged
An experiment with bold flavors this Imperial Stout was aged for 14 months in Jim Beam and Buffalo Trace barrels giving huge notes of coconut, vanilla, toffee and Bourbon with a silky smooth finish."
2569,"Edge Brewing Pure Imagination starstarstarstar_halfstar_border 3,36 ",Oatmeal Stout - 6 º - 42 IBU,"Edge brewing Pure Imagination
Delicately roasty, chocolate malts. Plummy fruit flavours. And a luxurious mouthfeel. Follow Mr. W. Wonka (1973)... ""Hold your breath. Make a wish. Count to three. Come with me, and you’ll be, in a world of Pure Imagination"" :-)"
2570,"Althaia Mascarat starstarstarstar_halfstar_border 3,75 ",Black IPA - 7.5 º - 50 IBU,"Althaia Mascarat
Black Rye IPA
Give him a mask and he will tell you the Truth
Tiempo atrás moraba en las montañas que separan Las Marinas un bandolero. En aquella época para cruzarlas y poder ir de Altea a Calpe solo se podía pasar por un angosto camino que aprovechaba nuestro querido  ..."
2571,Zumbando 15 Aguijonazos ,Mead - Hidromiel - 6.5 º,"15 Aguijonazos:
Hidromiel seco con aroma floral y especiado, aportado por la miel con la que se elabora y el lúpulo con el que se aromatiza. De color pajizo, gasificado de forma natural mediante segunda fermentación en botella. Bebida de trago fácil con 6.5% de alcohol."
2572,Zumbando 17 Aguijonazos ,Mead - Hidromiel - 6.5 º,"17 Aguijonazos
Hidromiel seco con aromas cítricos y refrescantes, aportados por la miel con la que se elabora y el lúpulo con el que se aromatiza. De color pajizo, gasificado de forma natural mediante segunda fermentación en botella. Bebida de trago fácil con 6.5% de alcohol."
2573,Forastera Noel Borracho ,Christmas-Winter Specialty Spiced Beer - 6.7 º - 24 IBU,"Forastera Noel Borracho
Mulled Ale
Grübbeer"
2574,"Trinitaria Cardamom starstarstarstar_halfstar_border 3,66 ","Spice, Herb o Vegetable Beer - 4 º - 40 IBU","Pajiza Cardamom - Card-A-Mom
Cerveza tostada sin pasteurizar ni filtrar, de color ambar con sabor y aroma cítricos, y un toque especiado debido al uso de cardamomo."
2575,Gamus Fusion Melocotón y Anis Estrellado ,Fruit Beer - 4.8 º,"Gamus Fusion Melocotón y Anis Estrellado
Hemos macerado el zumo del melocotón con el mosto de nuestra cerveza artesanal Gamus y le hemos añadido anís estrellado para ofrecerte este refrescante y mediterráneo sabor."
2576,Gamus Fusión Cherry Chilli ,Fruit Beer - 4.8 º,"Gamus Fusión Cherry Chilli
Cereza y un toque picante, macerada con zumo de cerezas y un puntito de picante que combina muy bien con la fruta roja."
2577,"4 Alqueries 24Q starstarstarstar_borderstar_border 3,10 ",Weizen-Weissbier - 4.8 º - 20 IBU,"4 Alqueries 24Q - 24 Quirats
Cervesa de blat d’estil mediterrani. Suau i molt refrescant. És una cervesa rossa color daurat intens i aparença clara. La pell de taronja, juntament amb la garrofa, li dona un gust especial i molt refrescat i un aroma encisador.
Maltes orgàniques franceses d ..."
2578,"4 Alqueries La Mar starstarstarstar_borderstar_border 3,24 ",Blonde Ale - 5.5 º - 25 IBU,"4 Alqueries La Mar
Cervesa clara i brillant molt ben balancejada entre notes de fruites i malts. El llúpol Nelson Sauvin, originari de Nova Zelanda, li dóna una sabor i un aroma a reïm blanc únics i molt sorprenent.
Aquesta cervesa agafa el nom d’una cançó del grup menorquí Ja t’ho ..."
2579,"4 Alqueries Ai si caus starstarstarstar_halfstar_border 3,27 ",American IPA - 6.66 º - 45 IBU,"4 Alqueries Ai si caus
American IPA
Cervesa clarament amarga i molt aromática. Amb tres llúpols cultivats al nord-oest del Pacífic. Els Home Brewers americans els coneixen com les tres C’s. Olor i gust a aranges.
El nom d’aquesta cervesa està inspirat en la cançó Ses Vaques del gru ..."
2580,"Marieta starstarstar_halfstar_borderstar_border 2,75 ",White IPA - 4.7 º,"Marieta
White IPA
Cerveza artesanal de estilo IPA Blanca.
Composición: agua, cuatro maltas de cebada, lúpulos, enebro y levaduras."
2581,"La Cabra del Maresme Blonde starstarstarstar_borderstar_border 2,97 ",Blonde Ale - 5.2 º,La Cabra del Maresme Blonde
2582,"La Cabra del Maresme English IPA starstarstarstar_borderstar_border 3,17 ",English IPA - 6.2 º - 45 IBU,La Cabra del Maresme English IPA
2583,Santo Cristo / Reptilian Saint Lizard the First ,Oatmeal Stout - 4.8 º,"Santo Cristo / Reptilian Saint Lizard the First
Stout con galletas maría y avena, ideal para tomar por la mañana
Primera colaboración con Reptilian, Stout con galletas María, ideal para tomar a media mañana, solo 4,8 grados pero con sabor intenso y buen cuerpo."
2584,"Santo Cristo Pontenova starstarstarstar_halfstar_border 3,27 ",Blonde Ale - 4.8 º - 21 IBU,"Santo Cristo Pontenova
Rubia clásica muy facil de beber, pero con sabor y presencia, con espíritu lager europeo donde el lúpulo sólo está presente en amargor para equilibrar."
2585,"Santo Cristo Den Pobedy starstarstarstarstar_border 3,95 ",Russian Imperial Stout - 10 º,"Santo Cristo Den Pobedy
CCCP Stout
Den Pobedy - Día de la Victoria
Después de ""Palacio de Invierno"" y ""1917"", seguimos recorriendo la historia rusa y pasamos de Imperial Stout a CCCP Stout, 10% con una densidad final muy alta, para elaborar el lote se hicieron dos elaboraciones que ferment ..."
2586,"3Monos Monkey Python starstarstarstar_halfstar_border 3,70 ",American IPA - 6.5 º - 32.5 IBU,"3Monos Monkey Python
“Mira siempre el lado bueno de la vida”
Cuerpo denso y cremoso de color claro velado y espuma consistente. Aromas potentes tropicales y frutales donde destacan los cítricos y las frutas dulces (mango, papaya y melocotón). Amargor suave y consistente con notas cítri ..."
2587,"Ales Agullons Roca & Carbó starstarstarstar_halfstar_border 3,57 ","Spice, Herb o Vegetable Beer - 5 º","Roca & Carbó
Pala Ale
Cerveza elaborada en la masía Ales Agullons de Sant Joan de Mediona por Carlos Rodriguez, Jordi Roca y Alfons Bonet de El Celler de Can Roca
Con una preparación de Can Roca con Lichis, miel y rosas."
2588,Sa Cerviseria Sa Portera Mediterrània ,Baltic Porter - 8.5 º - 33 IBU,"Sa Cerviseria Sa Portera Mediterrània
Una cervesa negra d’alta graduació amb tocs de cafè i torrat on amb un llevat de baixa fermentació i l’addició de baines de vainilla s’ha aconseguit una cervesa molt equilibrada."
2589,Sa Cerviseria Sa Forta ,Strong Scotch Ale - 8.2 º - 26 IBU,"Sa Cerviseria Sa Forta
Una cervesa d’alta graduació típica d’Escòcia. Molt maltosa, dolça, amb notes de melassa i amb tocs de caramel. El seu elevat contingut alcohòlic fa que la dolçor no arribi a embafar. Ideal per als que volen gaudir d’una cervesa tranquil·lament"
2590,Sa Cerviseria Sa de Sempre ,English Pale Ale - 4.9 º - 29 IBU,"Sa Cerviseria Sa de Sempre
Una Pale Ale molt suau de versió anglesa. Ideal per a iniciar-se a la cervesa artesana i que recorda molt a una canya de sempre. Utilitzant llúpols i maltes d’alta qualitat, s’aconsegueix una cervesa molt equilibrada i molt refrescant."
2591,Sa Cerviseria Sa Suau ,American Pale Ale - 5.6 º - 39 IBU,"Sa Cerviseria Sa Suau
Una cervesa per als que es volen arriscar a tastar alguna cervesa amb més caràcter. Una cervesa molt cítrica gràcies al llúpol Jarrylo que aromàticament és molt subtil però en boca ressalta el toc d’amargor d’aquest."
2592,Sa Cerviseria Sa Fluixa ,Weizen-Weissbier - 4.3 º - 13 IBU,"Sa Cerviseria Sa Fluixa
Cervesa de Blat a l’estil Alemany, amb pell de mandarina. La cervesa més fluixa que agradarà a tothom. La millor decisió per als que no els agrada la cervesa. Molt refrescant i ideal per a l’estiu."
2593,"La Pirata Hard Decision starstarstarstarstar_border 3,91 ",Oatmeal Stout - 8 º - 40 IBU,"La Pirata Hard Decision
Por demanda popular hemos incorporado a nuestra cartera de cervezas regulares a la LAB 001!! Con nuevo nombre e imagen… ¿Que os parece?
¡Para los paladares más delicados y exigentes! !Disfrutad familia!
De cremosidad extrema y densidad absoluta es el postre perfecto ..."
2594,"Laugar / La Pirata Block Tovarisch starstarstarstarstar_border 4,11 ",Russian Imperial Stout - 13 º,"Laugar / La Pirata Block Tovarisch
Russian Imperial Stout
De la unión entre dos buques insignia en el estilo Russian Imperial Stout como son Black Block de Cerveses La Pirata y la laugariana Aupa Tovarisch, surge este monstruo de la oscuridad realizado en colaboración: BLOCK TOVARISCH, estr ..."
2595,Soma DDH Chinook IPA ,American IPA - 6 º,"Soma DDH Chinook IPA
Doble dry hop chinook ipa. Lúpulos locales ( Cataluña) de Lupulina"
2596,Soma DDH Double IPA Amarillo Simcoe ,Imperial IPA - 8 º,"DDH Double IPA Amarillo Simcoe
Double Dry Hopped Double IPA."
2597,"Soma Combo IPA starstarstarstarstar_border 4,11 ",India Pale Ale - 6.1 º,"Soma Combo IPA
Oatmeal IPA"
2598,"Soma Pyramid starstarstarstarstar_border 4,06 ",American IPA - 6.9 º,Soma Pyramid
2599,Mad Brewing True England ,American IPA - 6 º,"Mad Brewing True England Hazy IPA
New England IPA"
2600,"Cruzcampo Edición Especial Navidad 2017 starstarstar_borderstar_borderstar_border 2,00 ",European Amber Lager - 5.7 º,"Cruzcampo Edición Especial Navidad 2017
35 aniversario
Una receta de autor que llega un año más para hacer de lo nuevo una tradición.
Este año 2017 , celebramos el 35º Aniversario con una lager especial 100% malta. Un producto único, de edición limitada, que cada Navidad pone de reli ..."
2601,Dieu du Ciel Petit Détour ,Belgian IPA - 6.5 º,"Dieu du Ciel Petit Détour
IPA Belge
Petite sœur de l’Herbe à détourne, cette bière offre un profil similaire marqué par les arômes tropicaux du houblon Citra, qui se marient aux esters bien présents de la levure belge. Le houblon Mosaic et sa plus faible teneur en alcool lui apporte ..."
2602,La Gitanilla a su Aire ,Weizen-Weissbier - 4.6 º,"Gitanilla Aire
Después de nuestra feria, preparamos nuestra cerveza ligera ""Aire"" - una cerveza de trigo de 4.6% para empezar el verano bien"
2603,In Peccatum Death Crush Bourbon BA ,Imperial Stout - 9.5 º - 77 IBU,"In Peccatum Death Crush Bourbon BA
Imperial Stout envejecida en barricas de bourbon."
2604,"Milana Cuéntame un Cuento starstarstarstar_borderstar_border 3,15 ",Witbier - 5.5 º - 24 IBU,"Milana Cuéntame un Cuento
Wit con Tritordeum
Witbier con Tritordeum, nuevo cereal combinación de un trigo duro (Triticum durum) y una cebada silvestre (Hordeum chilense)"
2605,"Art Franceska starstarstarstar_borderstar_border 3,24 ",Pilsner - 5.2 º - 26 IBU,"Art Franceska
Steam Pilsner
Maltas checas, levaduras californianas y lúpulos neozelandeses.
Partimos del estilo Pilsner (malta checa y lúpulo Saaz) y jugamos con levaduras californianas y lúpulos neozelandeses (dry-hopping de Motueka). Redonda.
-------------------------
Steam Pilsner. M ..."
2606,"Fort RaspGose starstarstarstar_halfstar_border 3,66 ",Gose - 3.4 º - 3 IBU,"Fort RaspGose
Gose a las frambuesas.
Cerveza de fermentación mixta estilo Gose con adición de frambuesas frescas."
2607,"Catalan Brewery Pumpkin starstarstarstar_halfstar_border 3,44 ",Pumpkin Ale - 6 º - 30 IBU,"Catalan Brewery Pumpkin
Robust Porter
2017
Pumpkin. Una cerveza especial para cerrar el año
El otoño es tiempo de calabazas. En Catalan Brewery hemos creado una cerveza edición especial para la ocasión. Una cerveza negra estilo Robust Porter con su característico aroma a café y por su ..."
2608,"Península Winter Ale 2108 starstarstarstar_halfstar_border 3,74 ",Christmas-Winter Specialty Spiced Beer - 7.4 º - 30 IBU,"Seasonal Winter Ale 2018
Ale inglesa; robusta con fuertes tonos tostados y sabor a ciruelas pasas. Su grado alcohólico de 7,4% ayuda a mantener el cuerpo caliente, siendo perfecta para la temporada de invierno."
2609,"Milana 20 de Abril IPA starstarstarstar_halfstar_border 3,48 ",India Pale Ale - 6.2 º - 50 IBU,"Milana 20 de Abril IPA
Es una IPA que aprovechando que el Pisuerga pasa Por Valladolid y que los mismísimos Celtas Cortos actuan en Milanito 2017, se elabora utilizando lúpulos Brewers Gold, Vic Secret y Mosaic."
2610,"Milana George the Red starstarstarstar_halfstar_border 3,38 ",Red Ale - 4.9 º - 25 IBU,"Milana George the Red
Hoppy Red Ale
Red Ale “de libro”, con la particularidad de un dry hopping de Galaxy que confiere un aroma muy agradable a esta cerveza.
Concebida para aquellos que gustan de las Red Ale y con vocación de trago fácil, a lo que ayuda también su baja graduación ..."
2611,Golden Promise Scottish Ale ,Scottish and Iris Ale - 5.5 º,"Golden Promise Scottish Ale
Nuestra Scottish Ale es una mezcla de varios estilos: buscando el cuerpo y sabor de la típica receta escocesa, rica en maltas caramelo y azúcares, le hemos dado un aspecto más propio de una amber ale y le hemos añadido un toque de trigo ahumado y avena, además  ..."
2612,"Golden Promise IPA starstarstarstar_halfstar_border 3,68 ",India Pale Ale - 7.2 º - 60 IBU,"Golden Promise IPA - IPA Edición Limitada - IPA Boris Brew
En este caso hemos contado con la colaboración de Boris de Mesones, un renombrado maestro cervecero, con más de 20 años de experiencia en el sector, cuyas cervezas han sido galardonadas en numerosos certámenes de prestigio a nivel ..."
2613,Old Skull Cat Pale Ale ,Pale Ale - 4.3 º - 53 IBU,"Old Skull Cat Pale Ale
Densidad media. Amargor bajo. Gusto a cereal y toques caramelo. Color dorado a ambar"
2614,Naparbier Kill Santa Death I ,India Pale Ale - 7 º,"Naparbier Kill Santa Death I
IPA con lúpulos Chinook y Centenial, edición especial Navidad 2017."
2615,Naparbier Kill Santa Death II ,India Pale Ale - 7 º,"Naparbier Kill Santa Death II
IPA con lúpulos Polaris y Cascade, edición especial Navidad 2017 Naparbier Kill Santa. Death II India Pale Ale"
2616,Naparbier Kill Santa Death III ,India Pale Ale - 7 º,"Naparbier Kill Santa Death III
India Pale Ale especial Navidad 2017 con lúpulos Athanum y Simcoe."
2617,Naparbier Kill Santa Death IV ,India Pale Ale,"Naparbier Kill Santa Death IV
IPA especial Navidad 2017 con lúpulos Citra y Mandarina Bavaria."
2618,"La Cabra Azul Un Rayo De Sol Oh, Oh, Oh ",White IPA - 4 º - 40 IBU,"La Cabra Azul Un Rayo De Sol Oh, Oh, Oh
Session IPA
Almond Blossom Session IPA"
2619,"Espiga Johnny Crash starstarstarstarstar_border 3,91 ",American IPA - 6 º - 54 IBU,"Espiga Johnny Crash
New England IPA
New England IPA d’intens color groc, tèrbola i fina escuma blanca, la Johnny Crash encaixa amb les IPAs de la costa est americana pel seu aspecte i l’explosió d’aromes de fruites tropicals que envaeix els sentits i desxifren notes de pinya, mango, mar ..."
2620,"Galician Brew Curuxa Indian Pale Ale starstarstarstar_halfstar_border 3,27 ",India Pale Ale - 7.5 º - 40 IBU,"Curuxa IPA es una cerveza de alta fermentación, estilo Indian Pale Ale, elaborada para aportar un balance equilibrado de aromas y sabores. Su graduación alcohólica se integra perfectamente con el cuerpo y sabor de la cerveza aportando carácter y personalidad.
Aspecto: Color ámbar intenso, ..."
2621,"Galician Brew Curuxa Moringa starstarstarstar_borderstar_border 3,02 ",Lager - 5.5 º - 24 IBU,"Curuxa Moringa es una cerveza de alta fermentación elaborada con 100% productos certificados de origen ecológico. Una cerveza de carácter por el añadido de Moringa “el árbol de la vida” que aporta sabores novedosos e intensos en una cerveza.
Aspecto: Color ambar con cierta turbidez. ..."
2622,"La Ferrolana Ruliña starstarstarstar_halfstar_border 3,26 ",Blonde Ale - 4.5 º,"La Ferrolana Ruliña
Ruliña es una Blonde Ale en la que combinamos maltas Pilsner, Munich y lúpulo Cascade. Una cerveza rubia, ligera, con muy poco amargor y un suave sabor herbáceo.
Ruliña y ferrolana también es Elga Fernández Lamas ,encargada del diseño de la etiqueta."
2623,"Sesma Txindoki starstarstarstar_halfstar_border 3,54 ",American IPA - 6.8 º - 70 IBU,"Sesma Txindoki
Super IPA
Cerveza de edicion especial de estilo American India Pale Ale.
Elaborada con una base de malta Pale y diferentes caramelos. De color cobrizo y espuma persistente, destaca por su potente amargor, con cierta maltosidad. Aroma penetrante a fruta de hueso, con toques cí ..."
2624,"Caleya Mansalva starstarstarstarstar_border 3,79 ",American IPA - 6.2 º - 77 IBU,"Caleya Mansalva New England IPA
Serie Quántica"
2625,Media Fanega Scottish ,Scotish Export 80- - 6.9 º - 23 IBU,"Media Fanega Scottish
Cerveza centrada en la malta, caramelizada, ausencia total del lúpulo. Cuerpo medio con una carbonatación baja.
A la hora de maridad esta cerveza por “Afinidad” encajaría con una Mouse de Chocolate Caramelizada mientras que un buen “Contraste” podría ser un b ..."
2626,Media Fanega Porter ,Robust Porter - 4.8 º - 34 IBU,"Media Fanega Porter
Elaborada con cinco tipos de maltas distintas hacen que nuestra cerveza artesana Porter tenga un marcado sabor a café y regaliz dejando el lúpulo en un segundo plano.
Nuestra Cerveza Porter marida muy bien con carnes ahumadas y complementa perfectamente con chocolates y  ..."
2627,Colder Weizenbier ,Weizen-Weissbier - 5.2 º - 22 IBU,"Colder Weizenbier
Cerveza de trigo estilo alemán con aromas cítricos y afrutados, especialmente a plátano. De amargura suave y leve acidez, en boca predomina el dulzor del cereal malteado. Un homenaje a los amantes de las cervezas turbias de trigo."
2628,"Colder Dunkelweizen starstarstarstar_halfstar_border 3,58 ",Dunkelweizen - 6.4 º - 15 IBU,"Colder Dunkelweizen
Cerveza de trigo tostado estilo alemán. Aromas a café y bananas maduras. En boca es de trago aterciopelado, cremosa, con notas torrefactas, a toffee y ligeramente ahumadas. En el retrogusto deja un sabor a maltas tostadas muy persistente.
 "
2629,"Colder American Chilipa starstarstarstar_halfstar_border 3,49 ",American IPA - 8.2 º - 69 IBU,"Colder American Chilipa
IPA con lúpulo 100% americano, de color ambarino. Espuma blanca y persistente. Golpe aromático de cítricos, tropicales y frutales. Amarga en paladar, y algo dulce, con un fulgor picante al final, en el retrogusto.
Con chile habanero, zumo de mango y azucar integral  ..."
2630,"La Grúa Amnesia Haze starstarstarstarstar_border 3,82 ",American IPA - 6 º - 43 IBU,"La Grúa Amnesia Haze
New Enland IPA
Cerveza muy afrutada y lupulada, con lúpulos Amarillo, Citra, Mosaic y doble dryhopping."
2631,Cantábrico Muyerina ,Pale Ale - 4.0 º,"Cantábrico Muyerina
Pale Ale
Muyerina es una cerveza estilo Pale Ale de color ámbar, cuerpo ligero pero al mismo tiempo con una sensación en boca fuerte, sabores cítricos y terrosos gracias a los distintos lúpulos que usamos en su elaboración.
Muyerina es una cerveza dedicada a todas ..."
2632,Mestral Tenalla ,Sin Gluten - 5.5 º - 24 IBU,"Mestral tenalla
Cerveza  tipo American pale Ale ""Sin Gluten"" de sabor suave, fresca y ligera. Su aroma tiene notas de cítricos.
Ideal para a aperitivos, ensaladas, verduras, pastas, pescados y mariscos.
 "
2633,Killa Roja Maca ,"Spice, Herb o Vegetable Beer - 5.4 º","Killa Roja Maca
Revitalizante
Cerveza artesanal innovadora 100% natural, es revitalizante, aporta a nuestro energía y vitalidad por contener “Maca” super alimento originario de Perú, es una cerveza con gusto y aroma a granos tostados, cuerpo medio alto, de agradable sabor y gusto final  ..."
2634,Killa Blanche Quinoa ,"Spice, Herb o Vegetable Beer - 4 º","Killa Blanche Quinoa
Nutritiva
Cerveza artesanal innovadora 100% natural, que aporta a nuestro organismo vitaminas, es nutritiva por contener “Quinoa” originario de Perú, es una cerveza muy aromática de dulzor moderado y cuerpo medio.
Su fermentación en altas temperaturas hace que adq ..."
2635,"San Miguel starstarstarstar_borderstar_border 3,02 ",Lager - 5 º - 18 IBU,"San Miguel
Suave y equilibrada.
Disfrutar de una San Miguel, es disfrutar de lo mejor del mundo.
Color amarillo oro con reflejos de oro viejo y espuma blanca bien entrelazada.
Aroma: Maltas ligeramente tostadas en excelente equilibrio con el suave amargor del lúpulo.
Maridaje: Verduras, e ..."
2636,"San Miguel Brujas starstarstarstarstar 4,90 ",Belgian Golden Strong Ale - 7.6 º,"San Miguel Brujas
Sabor y carácter.
Plena de saber y de sabor, con buen contenido alcohólico y muy equilibrada, San Miguel Brujas se disfruta con pausa.
Aroma afrutado con notas de lúpulo, cereal y caramelo muy bien equilibradas.
Maridaje: Carne de ternera estofada y albóndigas en salsa ..."
2637,San Miguel Portland ,American Pale Ale - 4.8 º,"San Miguel Portland
Seca y amarga.
San Miguel Portland es la cerveza para los paladares más atrevidos y cerveceros.
Gran intensidad aromática con un abanico de notas florales, herbales y cítricas, y sutiles recuerdos de fruta.
Maridaje: Enchilada y tacos mexicanos. Pad thai y noodles pic ..."
2638,San Miguel Delhi ,India Pale Ale - 6.2 º,"San Miguel Delhi
Aromática y amarga.
De color dorado pálido, y con un aroma floral de lúpulo, San Miguel Delhi te hará vivir intensas y sorprendentes sensaciones.
Aroma floral de lúpulo.
Maridaje: Pollo al curry
Snack: Frutos secos, pasas y cacahuetes salados."
2639,"San Miguel Dorchester starstarstarstarstar_half 4,50 ",Doppelbock - 9.1 º,"San Miguel Dorchester
Elegante e intensa.
Descubre San Miguel Dorchester, heredera de la tradición cervecera más intensa, con buen cuerpo y un contenido alcohólico superior.
Color oro viejo
Aromas de malta y lúpulo, y recuerdos de frutas pasas que se prolongan con un destacado dulzor en ..."
2640,"San Miguel Dusseldorf starstarstarstarstar 5,00 ",Vienna Lager - 6.6 º,"San Miguel Dusseldorf
Tostada y fresca
San Miguel Dusseldorf, una cerveza con buen cuerpo y el sabor de la mejor tradición cervecera.
Color cobrizo oscuro.
Aroma: Equilibrio de malta y lúpulos bien integrado.
Maridaje: Paté de foie.
Snack: Anacardos."
2641,San Miguel Hong Kong ,Lager - 6.4 º,"San Miguel Hong Kong
Dorada y equilibrada
Color dorada y brillante.
Aromas de malta, sabor de cereal y agradable frescor con recuerdo de lúpulo."
2642,"San Miguel Munich starstarstarstarstar 5,00 ",Munich Dunkel - 5.3 º,"San Miguel Munich
Tostada e intensa.
San Miguel Munich tiene el sabor de una auténtica lager tradicional. El sabor de una cerveza mundialmente reconocida.
Color cobre viejo.
Sabor de malta tostada, moderado amargor y recuerdos de café y caramelo.
Maridaje: Salchichas y codillo alemán.
 ..."
2643,San Miguel Hamburgo ,Munich Dunkel - 5.1 º,"San Miguel Hamburgo
Fuerte y tostada
San Miguel Hamburgo, la cerveza lager con el sabor más intenso y tradicional, encanta a los cerveceros con gustos más auténticos.
Color: Oscura con espuma color crema
Aroma y sabor de la malta tostada con equilibrio de amargor y ligero dulzor de caram ..."
2644,San Miguel Londres ,Lager - 4.9 º,"San Miguel Londres
Atrevida y con cuerpo.
El sabor atrevido y peculiar de San Miguel Londres, te transportará a la ciudad más cosmopolita del planeta.
Aromática y moderadamente amarga con un toque dulce de malta.
Maridaje: Fish & Chips
Snack: Almendras tostadas"
2645,Laugar TXO ,English Brown - 4.5 º - 30 IBU,"Laugar TXO
Brown Ale"
2646,Moritz Fumada ,Classic Rauchbier - 5.7 º - 30 IBU,"Moritz Fumada - Fum Fum Fum!
Cervesa filtrada de color castany rogenc elaborada amb una combinació de quatre maltes; fumades, caramel·litzades i torrefactes. Predomina la presència de la malta fumada amb troncs de faig. El fumat de la malta al final del procés de maltejat incorpora a la ce ..."
2647,Laugar Aupa Tovarisch Brandy Edition 12 months ,Russian Imperial Stout - 12 º,"Laugar Aupa Tovarisch Brandy Edition 12 months
La Aupa Tovarisch Russian Imperial Stout envejecida en barriles de Brandy durante 12 meses"
2648,"Terra Latina Trigo starstarstarstar_halfstar_border 3,47 ",Weizen-Weissbier - 5 º,"Terra Latina Trigo
Sabor profundo y pleno, de carbonatación alta. Maltosa y con gran cuerpo que resulta sensiblemente afrutada.
Muestra sabores que van del dulce de la malta de trigo al comienzo hasta una acidez en el regusto. Servir muy fría. De color dorado, turbio, sin filtrar y con buen ..."
2649,"Terra Latina Lager starstarstarstar_borderstar_border 3,06 ",Lager - 5 º,"Terra Latina Lager
Rubia clara, ligera y refrescante. De color dorado ambarino se puede percibir la suavidad de su carácter a malta con sabores delicadamente dulces.
Dulce y especiada con agradable gusto a malta, un final largo y floral que deja un regusto seco y amargo. Servir muy fría. Tr ..."
