,Name,Style,Description
25,"La Calavera Shake The Streets starstarstarstar_halfstar_border 3,75 ",Cream Ale - 7.5 º,"Shake The Streets
Imperial Milkshake Cream Ale amb maduixes, vainilla i coco.
---------------
Imperial Milkshake Cream Ale con Lactosa, Fresas, Coco y Vainilla."
26,Naparbier / Proof Zombified! ,Imperial Stout - 12.5 º,"Zombified!
Imperial Stout
Trabajamos una receta con unos maestros del estilo, nuestros amigos de Tallahassee, FL @proofbrewingco
Zombified: IMP Stout (12.5%) .
No hay extras aquí. ¡Pero una cerveza densa y sabrosa para calentar tu corazón oscuro!_________________________
We worked a recipe w ..."
27,"Tibidabo Brewing Tropical Party starstarstarstarstar_border 3,84 ",New England IPA - 6.5 º - 15 IBU,"Tropical Party
NEIPA
Han llegado los cuatro grandes lúpulos: Citra, Ekuanot, Mosaic y Amarillo para darnos el gustazo en un jugo de cerveza sin nada de amargos. Refrescantes gustos a todo tipo de frutas con una sensación placentera suave y cremosa en boca."
28,"Guineu / Zapap Spontanea I starstarstarstar_halfstar_border 3,58 ",Sour Ale - 6.5 º - 10 IBU,Spontanea I
29,El Pedal Export Stout ,Foreign Extra Stout - 6 º,Export Stout
30,Guineu Imperial Brown ,Barleywine - 12 º,"Imperial Brown
Imperial Brown Ale
Batea Red Wine Barrel Aged
 "
31,"Basqueland Circular Fiction starstarstarstarstar_border 3,92 ",American IPA - 6.5 º - 30 IBU,"Circular Fiction
Fruit IPA
Con Melocotón, Fruta de la Pasión y Lactosa. Dry Hopping de lúpulos Mosaic, AU 035, Loral y Ella."
32,Edge Brewing Frequency ,Golden Ale - 5 º,"Frequency
Hoppy Golden Ale"
33,"Garage Beer Co Scripted Spiel Wipa starstarstarstarstar_border 3,88 ",American IPA - 5.5 º,"Scripted Spiel Wipa
West Coast IPA, 5,5% ABV elaborado con lúpulos Simcoe, Amarillo, Ekuanot y Columbus"
34,"El Pájaro Amarillo Pale Ale starstarstarstar_borderstar_border 3,18 ",Pale Ale - 5.7 º - 25 IBU,"Pale Ale
Natural Pale Ale"
35,"El Pájaro Amarillo Lager starstarstarstar_borderstar_border 2,94 ",Lager - 4.5 º - 35 IBU,"Lager
Natural Lager"
36,"Naparbier / Sand City Almost 10 starstarstarstarstar_half 4,31 ",Imperial IPA - 9.7 º,"Almost 10
TIPA"
37,Artillera Flamenka ,Blonde Ale - 6.5 º,"Flamenka
Envejecida en madera de roble francés. Con manzanilla, jengibre, cilantro ypiel de naranja amarga. Muy aromática, con un amplio abanico de sabores frutales y especiados que se potencian y complementan con los aportados por la madera de roble francés 
 "
38,"Soma Double Mosaic Latte starstarstarstarstar_half 4,31 ",Imperial IPA - 8 º,"Double Mosaic Latte with Gelato Terpenes
Lactosa, Mosaic, Mosaic Cryo, Terpenos de Gelato"
